dataset,noise_rate,lnpcc_mean,lnpcc_std
flickr,uniform_0.2,0.546411,0.01664
flickr,uniform_0.3,0.517142,0.020041
flickr,uniform_0.4,0.478634,0.017563
flickr,uniform_0.5,0.43506,0.02702
pubmed,clean_0.0,0.7899,0.005974
pubmed,pair_0.1,0.7587,0.019406
pubmed,pair_0.2,0.7156,0.020655
pubmed,pair_0.3,0.6374,0.083597
pubmed,pair_0.4,0.5665,0.104288
pubmed,pair_0.5,0.4596,0.114578
pubmed,random_0.1,0.7631,0.023454
pubmed,random_0.2,0.6992,0.026427
pubmed,random_0.3,0.6551,0.056481
pubmed,random_0.4,0.5955,0.078236
pubmed,random_0.5,0.4762,0.077615
pubmed,uniform_0.1,0.7418,0.032273
pubmed,uniform_0.2,0.7102,0.037008
pubmed,uniform_0.3,0.6312,0.071994
pubmed,uniform_0.4,0.5656,0.052639
pubmed,uniform_0.5,0.48,0.105269
roman-empire,clean_0.0,0.42626,0.002378
roman-empire,pair_0.1,0.404021,0.006327
roman-empire,pair_0.2,0.352339,0.008071
roman-empire,pair_0.3,0.360844,0.010686
roman-empire,pair_0.4,0.312956,0.012587
roman-empire,pair_0.5,0.250491,0.009835
roman-empire,random_0.1,0.402978,0.005944
roman-empire,random_0.2,0.388263,0.006308
roman-empire,random_0.3,0.341583,0.008866
roman-empire,random_0.4,0.349035,0.007589
roman-empire,random_0.5,0.31326,0.006392
roman-empire,uniform_0.1,0.40749,0.007372
roman-empire,uniform_0.2,0.385312,0.006329
roman-empire,uniform_0.3,0.366586,0.004777
roman-empire,uniform_0.4,0.331704,0.007469
roman-empire,uniform_0.5,0.336293,0.006591
